GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,MSA_CMSAA,PMSAA,NECMAA,NAME,FKI001
G1801370,2000,2,3,Indiana,18,Ripley,137,9999,9999,9999,Ripley County,10482
G1801390,2000,2,3,Indiana,18,Rush,139,9999,9999,9999,Rush County,7337
G1801410,2000,2,3,Indiana,18,St Joseph,141,7800,9999,9999,St. Joseph County,107013
G1801430,2000,2,3,Indiana,18,Scott,143,4520,9999,9999,Scott County,9737
G1801450,2000,2,3,Indiana,18,Shelby,145,3480,9999,9999,Shelby County,17633
G1801470,2000,2,3,Indiana,18,Spencer,147,9999,9999,9999,Spencer County,8333
G1801490,2000,2,3,Indiana,18,Starke,149,9999,9999,9999,Starke County,10201
G1801510,2000,2,3,Indiana,18,Steuben,151,9999,9999,9999,Steuben County,17337
G1801530,2000,2,3,Indiana,18,Sullivan,153,9999,9999,9999,Sullivan County,8804
G1801550,2000,2,3,Indiana,18,Switzerland,155,9999,9999,9999,Switzerland County,4226
G1801570,2000,2,3,Indiana,18,Tippecanoe,157,3920,9999,9999,Tippecanoe County,58343
G1801590,2000,2,3,Indiana,18,Tipton,159,3850,9999,9999,Tipton County,6848
G1801610,2000,2,3,Indiana,18,Union,161,9999,9999,9999,Union County,3077
G1801630,2000,2,3,Indiana,18,Vanderburgh,163,2440,9999,9999,Vanderburgh County,76300
G1801650,2000,2,3,Indiana,18,Vermillion,165,8320,9999,9999,Vermillion County,7405
G1801670,2000,2,3,Indiana,18,Vigo,167,8320,9999,9999,Vigo County,45203
G1801690,2000,2,3,Indiana,18,Wabash,169,9999,9999,9999,Wabash County,14034
G1801710,2000,2,3,Indiana,18,Warren,171,9999,9999,9999,Warren County,3477
G1801730,2000,2,3,Indiana,18,Warrick,173,2440,9999,9999,Warrick County,20546
G1801750,2000,2,3,Indiana,18,Washington,175,9999,9999,9999,Washington County,11191
G1801770,2000,2,3,Indiana,18,Wayne,177,9999,9999,9999,Wayne County,30468
G1801790,2000,2,3,Indiana,18,Wells,179,2760,9999,9999,Wells County,10970
G1801810,2000,2,3,Indiana,18,White,181,9999,9999,9999,White County,12083
G1801830,2000,2,3,Indiana,18,Whitley,183,2760,9999,9999,Whitley County,12545
G1900010,2000,2,4,Iowa,19,Adair,1,9999,9999,9999,Adair County,3690
G1900030,2000,2,4,Iowa,19,Adams,3,9999,9999,9999,Adams County,2109
G1900050,2000,2,4,Iowa,19,Allamakee,5,9999,9999,9999,Allamakee County,7142
G1900070,2000,2,4,Iowa,19,Appanoose,7,9999,9999,9999,Appanoose County,6697
G1900090,2000,2,4,Iowa,19,Audubon,9,9999,9999,9999,Audubon County,2995
G1900110,2000,2,4,Iowa,19,Benton,11,9999,9999,9999,Benton County,10377
G1900130,2000,2,4,Iowa,19,Black Hawk,13,8920,9999,9999,Black Hawk County,51759
G1900150,2000,2,4,Iowa,19,Boone,15,9999,9999,9999,Boone County,10968
G1900170,2000,2,4,Iowa,19,Bremer,17,9999,9999,9999,Bremer County,9337
G1900190,2000,2,4,Iowa,19,Buchanan,19,9999,9999,9999,Buchanan County,8697
G1900210,2000,2,4,Iowa,19,Buena Vista,21,9999,9999,9999,Buena Vista County,8145
G1900230,2000,2,4,Iowa,19,Butler,23,9999,9999,9999,Butler County,6578
G1900250,2000,2,4,Iowa,19,Calhoun,25,9999,9999,9999,Calhoun County,5219
G1900270,2000,2,4,Iowa,19,Carroll,27,9999,9999,9999,Carroll County,9019
G1900290,2000,2,4,Iowa,19,Cass,29,9999,9999,9999,Cass County,6590
